Mixer name: 'msm8974-taiko-mtp-snd-card'
Number of controls: 693
ctl	type	num	name                                     value
169	BOOL	1	Voice Stub Tx Mixer SEC_AUX_PCM_UL_TX    Off
170	BOOL	1	Voice Stub Tx Mixer SLIM_0_TX            Off
171	BOOL	1	AFE_PCM_RX Audio Mixer MultiMedia1       Off
172	BOOL	1	AFE_PCM_RX Audio Mixer MultiMedia2       Off
173	BOOL	1	AFE_PCM_RX Audio Mixer MultiMedia3       Off
174	BOOL	1	AFE_PCM_RX Audio Mixer MultiMedia4       Off
175	BOOL	1	AFE_PCM_RX Audio Mixer MultiMedia5       Off
176	BOOL	1	AFE_PCM_RX Audio Mixer MultiMedia6       Off
177	BOOL	1	AFE_PCM_RX Audio Mixer MultiMedia7       Off
178	BOOL	1	AFE_PCM_RX Audio Mixer MultiMedia8       Off
179	BOOL	1	AFE_PCM_RX Audio Mixer MultiMedia9       Off
180	BOOL	1	AFE_PCM_RX Audio Mixer MultiMedia10      Off
181	BOOL	1	INTERNAL_FM_RX Audio Mixer MultiMedia1   Off
182	BOOL	1	INTERNAL_FM_RX Audio Mixer MultiMedia2   Off
183	BOOL	1	INTERNAL_FM_RX Audio Mixer MultiMedia3   Off
184	BOOL	1	INTERNAL_FM_RX Audio Mixer MultiMedia4   Off
185	BOOL	1	INTERNAL_FM_RX Audio Mixer MultiMedia5   Off
186	BOOL	1	INTERNAL_FM_RX Audio Mixer MultiMedia6   Off
187	BOOL	1	INTERNAL_FM_RX Audio Mixer MultiMedia7   Off
188	BOOL	1	INTERNAL_FM_RX Audio Mixer MultiMedia8   Off
189	BOOL	1	INTERNAL_FM_RX Audio Mixer MultiMedia9   Off
190	BOOL	1	INTERNAL_FM_RX Audio Mixer MultiMedia10  Off
191	BOOL	1	INTERNAL_BT_SCO_RX Audio Mixer MultiMedia1 Off
192	BOOL	1	INTERNAL_BT_SCO_RX Audio Mixer MultiMedia2 Off
193	BOOL	1	INTERNAL_BT_SCO_RX Audio Mixer MultiMedia3 Off
194	BOOL	1	INTERNAL_BT_SCO_RX Audio Mixer MultiMedia4 Off
195	BOOL	1	INTERNAL_BT_SCO_RX Audio Mixer MultiMedia5 Off
196	BOOL	1	INTERNAL_BT_SCO_RX Audio Mixer MultiMedia6 Off
197	BOOL	1	INTERNAL_BT_SCO_RX Audio Mixer MultiMedia7 Off
198	BOOL	1	INTERNAL_BT_SCO_RX Audio Mixer MultiMedia8 Off
199	BOOL	1	INTERNAL_BT_SCO_RX Audio Mixer MultiMedia9 Off
200	BOOL	1	INTERNAL_BT_SCO_RX Audio Mixer MultiMedia10 Off
201	BOOL	1	VoWLAN_Tx Mixer PRI_TX_VoWLAN            Off
202	BOOL	1	VoWLAN_Tx Mixer SLIM_0_TX_VoWLAN         Off
203	BOOL	1	VoWLAN_Tx Mixer INTERNAL_BT_SCO_TX_VoWLAN Off
204	BOOL	1	VoWLAN_Tx Mixer AFE_PCM_TX_VoWLAN        Off
205	BOOL	1	VoWLAN_Tx Mixer AUX_PCM_TX_VoWLAN        Off
206	BOOL	1	VoWLAN_Tx Mixer SEC_AUX_PCM_TX_VoWLAN    Off
207	BOOL	1	VoWLAN_Tx Mixer MI2S_TX_VoWLAN           Off
208	BOOL	1	VoWLAN_Tx Mixer PRI_MI2S_TX_VoWLAN       Off
209	BOOL	1	VoLTE_Tx Mixer PRI_TX_VoLTE              Off
210	BOOL	1	VoLTE_Tx Mixer SLIM_0_TX_VoLTE           Off
211	BOOL	1	VoLTE_Tx Mixer INTERNAL_BT_SCO_TX_VoLTE  Off
212	BOOL	1	VoLTE_Tx Mixer AFE_PCM_TX_VoLTE          Off
213	BOOL	1	VoLTE_Tx Mixer AUX_PCM_TX_VoLTE          Off
214	BOOL	1	VoLTE_Tx Mixer SEC_AUX_PCM_TX_VoLTE      Off
215	BOOL	1	VoLTE_Tx Mixer MI2S_TX_VoLTE             Off
216	BOOL	1	Voip_Tx Mixer PRI_TX_Voip                Off
217	BOOL	1	Voip_Tx Mixer MI2S_TX_Voip               Off
218	BOOL	1	Voip_Tx Mixer SLIM_0_TX_Voip             Off
219	BOOL	1	Voip_Tx Mixer INTERNAL_BT_SCO_TX_Voip    Off
220	BOOL	1	Voip_Tx Mixer AFE_PCM_TX_Voip            Off
221	BOOL	1	Voip_Tx Mixer AUX_PCM_TX_Voip            Off
222	BOOL	1	Voip_Tx Mixer SEC_AUX_PCM_TX_Voip        Off
223	BOOL	1	Voip_Tx Mixer PRI_MI2S_TX_Voip           Off
224	BOOL	1	Voice2_Tx Mixer PRI_TX_Voice2            Off
225	BOOL	1	Voice2_Tx Mixer MI2S_TX_Voice2           Off
226	BOOL	1	Voice2_Tx Mixer SLIM_0_TX_Voice2         Off
227	BOOL	1	Voice2_Tx Mixer INTERNAL_BT_SCO_TX_Voice2 Off
228	BOOL	1	Voice2_Tx Mixer AFE_PCM_TX_Voice2        Off
229	BOOL	1	Voice2_Tx Mixer AUX_PCM_TX_Voice2        Off
230	BOOL	1	Voice2_Tx Mixer SEC_AUX_PCM_TX_Voice2    Off
231	BOOL	1	Voice2_Tx Mixer PRI_MI2S_TX_Voice2       Off
232	BOOL	1	Voice_Tx Mixer PRI_TX_Voice              Off
233	BOOL	1	Voice_Tx Mixer MI2S_TX_Voice             Off
234	BOOL	1	Voice_Tx Mixer SLIM_0_TX_Voice           Off
235	BOOL	1	Voice_Tx Mixer INTERNAL_BT_SCO_TX_Voice  Off
236	BOOL	1	Voice_Tx Mixer AFE_PCM_TX_Voice          Off
237	BOOL	1	Voice_Tx Mixer AUX_PCM_TX_Voice          Off
238	BOOL	1	Voice_Tx Mixer SEC_AUX_PCM_TX_Voice      Off
239	BOOL	1	Voice_Tx Mixer PRI_MI2S_TX_Voice         Off
240	BOOL	1	MI2S_RX_Voice Mixer CSVoice              Off
241	BOOL	1	MI2S_RX_Voice Mixer Voice2               Off
242	BOOL	1	MI2S_RX_Voice Mixer Voip                 Off
243	BOOL	1	MI2S_RX_Voice Mixer Voice Stub           Off
244	BOOL	1	MI2S_RX_Voice Mixer VoLTE                Off
245	BOOL	1	MI2S_RX_Voice Mixer VoWLAN               Off
246	BOOL	1	MI2S_RX_Voice Mixer DTMF                 Off
247	BOOL	1	MI2S_RX_Voice Mixer QCHAT                Off
248	BOOL	1	HDMI_RX_Voice Mixer CSVoice              Off
249	BOOL	1	HDMI_RX_Voice Mixer Voice2               Off
250	BOOL	1	HDMI_RX_Voice Mixer Voip                 Off
251	BOOL	1	HDMI_RX_Voice Mixer VoLTE                Off
252	BOOL	1	HDMI_RX_Voice Mixer VoWLAN               Off
253	BOOL	1	HDMI_RX_Voice Mixer DTMF                 Off
254	BOOL	1	HDMI_RX_Voice Mixer QCHAT                Off
255	BOOL	1	SEC_AUX_PCM_RX_Voice Mixer CSVoice       Off
256	BOOL	1	SEC_AUX_PCM_RX_Voice Mixer Voice2        Off
257	BOOL	1	SEC_AUX_PCM_RX_Voice Mixer Voip          Off
258	BOOL	1	SEC_AUX_PCM_RX_Voice Mixer Voice Stub    Off
259	BOOL	1	SEC_AUX_PCM_RX_Voice Mixer VoLTE         Off
260	BOOL	1	SEC_AUX_PCM_RX_Voice Mixer VoWLAN        Off
261	BOOL	1	SEC_AUX_PCM_RX_Voice Mixer DTMF          Off
262	BOOL	1	SEC_AUX_PCM_RX_Voice Mixer QCHAT         Off
263	BOOL	1	AUX_PCM_RX_Voice Mixer CSVoice           Off
264	BOOL	1	AUX_PCM_RX_Voice Mixer Voice2            Off
265	BOOL	1	AUX_PCM_RX_Voice Mixer Voip              Off
266	BOOL	1	AUX_PCM_RX_Voice Mixer Voice Stub        Off
267	BOOL	1	AUX_PCM_RX_Voice Mixer VoLTE             Off
268	BOOL	1	AUX_PCM_RX_Voice Mixer VoWLAN            Off
269	BOOL	1	AUX_PCM_RX_Voice Mixer DTMF              Off
270	BOOL	1	AUX_PCM_RX_Voice Mixer QCHAT             Off
271	BOOL	1	AFE_PCM_RX_Voice Mixer CSVoice           Off
272	BOOL	1	AFE_PCM_RX_Voice Mixer Voice2            Off
273	BOOL	1	AFE_PCM_RX_Voice Mixer Voip              Off
274	BOOL	1	AFE_PCM_RX_Voice Mixer Voice Stub        Off
275	BOOL	1	AFE_PCM_RX_Voice Mixer VoLTE             Off
276	BOOL	1	AFE_PCM_RX_Voice Mixer VoWLAN            Off
